TRY,Year,Type,lat,lon,station,region,height,T_min,T_min_ref,G_12,G_15,G_10
1,2015,a,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-3.6516666666666664,-8.2,2978.0,3357.0,2752.0
2,2015,a,54.0878,12.1088,Rostock,Ostseeküste,16,-4.330833333333333,-10.4,3223.0,3512.0,2950.0
3,2015,a,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-4.555138888888889,-9.4,3197.0,3500.0,2963.0
4,2015,a,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-7.345138888888889,-12.4,3280.0,3522.0,3000.0
5,2015,a,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-2.680138888888889,-7.8,2779.0,3119.0,2520.0
6,2015,a,55.6461,7.9426,Bad Marienburg,"Nördliche und westliche Mittelgebirge, Randgebiete",453,-5.81,-10.9,3674.0,4055.0,3358.0
7,2015,a,51.3334,9.4725,Kassel,"Nördliche und westliche Mittelgebirge, zentrale Bereiche",181,-6.3375,-10.8,3202.0,3542.0,3025.0
8,2015,a,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-8.808541666666667,-13.7,4391.0,4681.0,4133.0
9,2015,a,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-8.3125,-13.3,3354.0,3628.0,3108.0
10,2015,a,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-7.110694444444444,-14.8,3815.0,4111.0,3544.0
11,2015,a,50.4312,12.9522,Fichtelberg,"Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m",1177,-13.554236111111111,-14.4,5500.0,5752.0,5238.0
12,2015,a,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-4.647708333333333,-10.5,2569.0,2814.0,2260.0
13,2015,a,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-10.429930555555556,-13.7,3581.0,3907.0,3289.0
14,2015,a,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-9.069652777777778,-14.3,3943.0,4195.0,3612.0
15,2015,a,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-11.993263888888889,-15.3,3936.0,4342.0,3742.0
1,2015,s,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-8.374791666666667,-8.2,3097.0,3387.0,2901.0
2,2015,s,54.0878,12.1088,Rostock,Ostseeküste,16,-11.981319444444443,-10.4,3507.0,3761.0,3300.0
3,2015,s,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-11.24625,-9.4,3308.0,3604.0,3110.0
4,2015,s,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-15.187847222222222,-12.4,3149.0,3421.0,2835.0
5,2015,s,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-6.186875000000001,-7.8,2737.0,3076.0,2511.0
6,2015,s,55.6461,7.9426,Bad Marienburg,"Nördliche und westliche Mittelgebirge, Randgebiete",453,-10.04361111111111,-10.9,3895.0,4192.0,3515.0
7,2015,s,51.3334,9.4725,Kassel,"Nördliche und westliche Mittelgebirge, zentrale Bereiche",181,-7.960277777777777,-10.8,3155.0,3467.0,2901.0
8,2015,s,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-11.434166666666668,-13.7,4122.0,4438.0,3841.0
9,2015,s,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-13.779097222222223,-13.3,3200.0,3494.0,2902.0
10,2015,s,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-13.99576388888889,-14.8,3667.0,4003.0,3392.0
11,2015,s,50.4312,12.9522,Fichtelberg,"Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m",1177,-12.992638888888889,-14.4,5299.0,5511.0,4944.0
12,2015,s,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-4.920138888888889,-10.5,2469.0,2794.0,2272.0
13,2015,s,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-11.376805555555556,-13.7,3684.0,3996.0,3354.0
14,2015,s,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-10.723055555555556,-14.3,3758.0,4174.0,3471.0
15,2015,s,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-12.998958333333333,-15.3,4159.0,4482.0,3836.0
1,2015,w,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-8.43423611111111,-8.2,3224.0,3545.0,2971.0
2,2015,w,54.0878,12.1088,Rostock,Ostseeküste,16,-10.066527777777777,-10.4,3426.0,3767.0,3194.0
3,2015,w,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-11.24625,-9.4,3418.0,3731.0,3268.0
4,2015,w,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-11.515972222222222,-12.4,3517.0,3775.0,3399.0
5,2015,w,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-11.354861111111111,-7.8,3101.0,3383.0,2740.0
6,2015,w,55.6461,7.9426,Bad Marienburg,"Nördliche und westliche Mittelgebirge, Randgebiete",453,-15.245486111111111,-10.9,3899.0,4182.0,3689.0
7,2015,w,51.3334,9.4725,Kassel,"Nördliche und westliche Mittelgebirge, zentrale Bereiche",181,-14.249027777777776,-10.8,3518.0,3850.0,3296.0
8,2015,w,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-16.847291666666667,-13.7,4693.0,4949.0,4426.0
9,2015,w,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-15.057638888888889,-13.3,3633.0,3919.0,3348.0
10,2015,w,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-16.447222222222223,-14.8,4029.0,4289.0,3748.0
11,2015,w,50.4312,12.9522,Fichtelberg,"Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m",1177,-17.011111111111113,-14.4,5780.0,5958.0,5613.0
12,2015,w,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-3.416111111111111,-10.5,2964.0,3261.0,2749.0
13,2015,w,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-10.72638888888889,-13.7,3922.0,4270.0,3676.0
14,2015,w,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-10.723055555555556,-14.3,4156.0,4561.0,3899.0
15,2015,w,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-14.834027777777777,-15.3,4467.0,4765.0,4137.0
1,2045,a,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-1.6217361111111113,-8.2,2661.0,2954.0,2469.0
2,2045,a,54.0878,12.1088,Rostock,Ostseeküste,16,-3.974513888888889,-10.4,2941.0,3282.0,2698.0
3,2045,a,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-4.487777777777778,-9.4,2699.0,3024.0,2412.0
4,2045,a,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-6.297569444444444,-12.4,2853.0,3128.0,2670.0
5,2045,a,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-2.5909722222222222,-7.8,2461.0,2804.0,2173.0
6,2045,a,55.6461,7.9426,Bad Marienburg,"Nördliche und westliche Mittelgebirge, Randgebiete",453,-5.667222222222223,-10.9,3428.0,3721.0,3137.0
7,2045,a,51.3334,9.4725,Kassel,"Nördliche und westliche Mittelgebirge, zentrale Bereiche",181,-4.086180555555556,-10.8,2718.0,3004.0,2486.0
8,2045,a,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-9.21625,-13.7,3843.0,4262.0,3532.0
9,2045,a,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-4.172986111111111,-13.3,3017.0,3235.0,2722.0
10,2045,a,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-6.673333333333334,-14.8,3412.0,3680.0,3111.0
11,2045,a,50.4312,12.9522,Fichtelberg,"Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m",1177,-11.392152777777778,-14.4,5015.0,5315.0,4790.0
12,2045,a,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-3.129166666666667,-10.5,2254.0,2510.0,1982.0
13,2045,a,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-6.806597222222222,-13.7,3197.0,3426.0,2871.0
14,2045,a,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-9.384236111111111,-14.3,3468.0,3827.0,3246.0
15,2045,a,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-8.1225,-15.3,3641.0,3873.0,3365.0
1,2045,s,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-2.9715972222222224,-8.2,2782.0,3040.0,2493.0
2,2045,s,54.0878,12.1088,Rostock,Ostseeküste,16,-4.045555555555556,-10.4,2936.0,3210.0,2654.0
3,2045,s,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-4.753333333333334,-9.4,2810.0,3065.0,2600.0
4,2045,s,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-3.970833333333333,-12.4,2792.0,2994.0,2612.0
5,2045,s,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-1.711875,-7.8,2477.0,2786.0,2243.0
6,2045,s,55.6461,7.9426,Bad Marienburg,"Nördliche und westliche Mittelgebirge, Randgebiete",453,-5.466041666666667,-10.9,3202.0,3525.0,3014.0
7,2045,s,51.3334,9.4725,Kassel,"Nördliche und westliche Mittelgebirge, zentrale Bereiche",181,-5.4725,-10.8,2740.0,3014.0,2583.0
8,2045,s,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-7.613819444444444,-13.7,3733.0,3990.0,3426.0
9,2045,s,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-5.882569444444444,-13.3,3024.0,3167.0,2733.0
10,2045,s,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-5.917083333333333,-14.8,3432.0,3665.0,3208.0
11,2045,s,50.4312,12.9522,Fichtelberg,"Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m",1177,-11.616111111111111,-14.4,4791.0,5096.0,4524.0
12,2045,s,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-2.616736111111111,-10.5,2499.0,2709.0,2252.0
13,2045,s,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-8.23048611111111,-13.7,3101.0,3275.0,2892.0
14,2045,s,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-9.304791666666667,-14.3,3321.0,3570.0,3111.0
15,2045,s,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-9.1375,-15.3,3489.0,3682.0,3185.0
1,2045,w,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-5.243819444444445,-8.2,3118.0,3480.0,2921.0
2,2045,w,54.0878,12.1088,Rostock,Ostseeküste,16,-5.20625,-10.4,3379.0,3679.0,3116.0
3,2045,w,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-4.911388888888888,-9.4,3176.0,3485.0,2963.0
4,2045,w,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-7.345138888888889,-12.4,3196.0,3460.0,3039.0
5,2045,w,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-2.680138888888889,-7.8,2884.0,3174.0,2696.0
6,2045,w,55.6461,7.9426,Bad Marienburg,"Nördliche und westliche Mittelgebirge, Randgebiete",453,-6.747569444444444,-10.9,3656.0,4031.0,3388.0
7,2045,w,51.3334,9.4725,Kassel,"Nördliche und westliche Mittelgebirge, zentrale Bereiche",181,-6.3375,-10.8,3145.0,3491.0,2948.0
8,2045,w,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-8.808541666666667,-13.7,4189.0,4570.0,3886.0
9,2045,w,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-7.3609027777777785,-13.3,3452.0,3641.0,3191.0
10,2045,w,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-9.164027777777779,-14.8,3914.0,4200.0,3582.0
11,2045,w,50.4312,12.9522,Fichtelberg,"Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m",1177,-13.494513888888887,-14.4,5437.0,5657.0,5114.0
12,2045,w,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-4.920138888888889,-10.5,2878.0,3045.0,2603.0
13,2045,w,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-10.429930555555556,-13.7,3502.0,3715.0,3235.0
14,2045,w,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-8.647569444444445,-14.3,3852.0,4126.0,3519.0
15,2045,w,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-9.540277777777778,-15.3,3876.0,4219.0,3687.0
